            Guess        True
0      427.658325  427.801437
1      424.281189  423.478400
2      315.139740  313.964471
3      390.594727  389.552915
4      417.064209  415.941527
5      396.454834  395.148891
6      355.165405  354.445501
7      414.409851  413.013974
8      405.624878  405.300795
9      369.932861  368.687787
10     314.847809  315.615338
11     326.814880  327.547542
12     394.269104  392.974646
13     395.899963  395.944174
14     328.744812  328.209770
15     422.392242  421.445778
16     375.847382  374.661973
17     422.156982  421.131072
18     415.420227  414.370478
19     311.708954  312.224537
20     378.027222  377.624613
21     335.695984  335.012882
22     422.951843  422.047277
23     373.514496  371.938341
24     368.869690  369.554874
25     392.373962  391.116120
26     376.121155  375.835020
27     381.953613  381.545296
28     317.950256  318.832450
29     382.497253  381.743715
30     354.056610  354.399078
31     311.361664  311.878854
32     312.539551  313.172718
33     426.693298  426.268057
34     406.632629  405.243215
35     377.249451  374.071210
36     367.573975  368.485318
37     373.960632  374.036199
38     338.154236  338.692369
39     427.803223  427.848478
40     314.875824  315.582179
41     426.304474  425.877230
42     391.592041  390.383357
43     426.825989  427.002482
44     415.034851  413.776588
45     368.184662  369.046510
46     407.810791  407.637392
47     425.885193  425.389474
48     373.433655  373.906515
49     348.580017  349.073748
50     336.454834  337.097713
51     402.942657  401.522605
52     326.483887  327.190770
53     426.835724  426.599301
54     362.722931  362.015918
55     356.969025  357.017994
56     387.288391  386.181677
57     381.689087  380.907919
58     383.045959  382.442851
59     397.897064  396.545366
60     371.728577  372.390099
61     335.836304  337.952542
62     422.553528  421.640969
63     369.276154  368.386561
64     396.158020  394.863248
65     368.606812  369.320437
66     332.825073  332.682291
67     371.327850  371.293372
68     388.433533  387.307724
69     378.733856  380.259215
70     410.669434  409.344617
71     364.163361  365.710588
72     410.562439  409.247330
73     401.717041  400.332252
74     367.349609  368.526471
75     339.684143  340.242683
76     426.181030  425.680129
77     426.211182  425.665544
78     374.729126  374.619144
79     365.074615  366.449476
80     412.228333  410.933021
81     375.640228  375.622506
82     372.141724  372.926739
83     427.403748  427.056038
84     363.999176  363.262072
85     389.048279  388.083778
86     370.039917  371.009943
87     427.025330  427.555769
88     409.719482  409.685345
89     338.142670  337.820429
90     362.649597  361.700721
91     373.389435  371.873628
92     340.786774  340.865655
93     393.905090  392.685519
94     370.019287  370.389024
95     342.127136  340.915359
96     374.602753  375.133884
97     409.221985  408.424688
98     374.687073  375.106627
99     385.709778  384.682044
100    418.359009  417.102030
101    378.188629  378.372404
102    408.587250  407.114389
103    326.523743  326.222145
104    406.632935  405.243714
105    396.315033  395.027736
106    381.263153  380.111119
107    414.311584  413.067653
108    375.253937  375.116516
109    425.473206  424.840993
110    332.449677  334.054849
111    322.855713  322.857304
112    412.752289  411.462857
113    374.599213  375.057161
114    425.734680  425.150245
115    384.956512  384.155850
116    347.750763  347.931816
117    380.046265  380.187015
118    371.080139  373.279154
119    403.837189  402.965207
120    385.502136  384.596416
121    427.717407  427.735998
122    393.224091  392.023853
123    318.838684  317.696067
124    347.058502  345.890983
125    375.105438  375.254250
126    359.469910  359.137698
127    428.306946  428.161578
128    351.411469  352.306040
129    352.578308  351.392022
130    363.446808  362.645359
131    391.760925  390.639349
132    396.197266  394.892405
133    407.527100  406.122336
134    367.239990  368.376762
135    373.660034  374.063762
136    379.347778  379.157265
137    378.850403  378.771822
138    378.861481  378.292095
139    383.520447  383.053109
140    426.917847  426.442125
141    385.821655  385.147791
142    396.436310  395.129524
143    326.746613  325.751539
144    357.756653  356.629828
145    388.418640  388.464943
146    402.694946  401.310709
147    426.159119  425.806190
148    344.791687  345.204947
149    416.651306  415.497041
150    369.715515  370.592511
151    374.701508  375.184267
152    383.652985  382.475801
153    359.104309  359.579032
154    381.319519  380.067020
155    318.710571  318.393455
156    371.913025  370.629737
157    367.863770  366.939941
158    365.810791  366.877185
159    394.619965  393.383653
160    310.433807  311.056680
161    315.588531  316.319882
162    336.198730  338.236047
163    364.980286  364.980611
164    369.910065  370.840466
165    373.898468  372.116800
166    423.925354  423.061549
167    421.463837  420.367232
168    397.600830  396.269966
169    328.467957  329.024331
170    369.641785  370.521484
171    425.537170  424.939589
172    375.478485  375.848028
173    359.077881  357.908547
174    326.755829  327.442803
175    369.902557  370.519424
176    358.850281  357.783328
177    384.744141  383.806863
178    347.628662  346.417640
179    373.309326  372.030158
180    337.189819  337.440459
181    330.559631  329.401550
182    403.061646  402.763174
183    372.048889  372.368870
184    343.450287  343.622869
185    423.206726  422.301799
186    335.960083  335.906669
187    370.128296  368.899998
188    428.036011  428.040280
189    351.070343  350.825308
190    350.249420  350.686412
191    362.233582  361.639149
192    362.388184  361.166815
193    379.853516  379.324476
194    395.513031  394.236195
195    399.324646  397.968339
196    365.867004  367.266960
197    368.436249  369.321052
198    422.992706  422.081527
199    343.384918  343.800799
200    424.165344  423.346790
201    371.788574  372.625592
202    383.401917  383.431736
203    359.306824  359.018355
204    328.429474  333.449179
205    329.199799  329.932802
206    407.441589  407.214399
207    354.522888  353.457656
208    403.321320  401.990339
209    373.081543  373.131218
210    373.727783  374.290475
211    379.731415  378.577790
212    359.425415  358.650463
213    364.939789  366.331815
214    427.525696  427.107210
215    405.296814  404.314762
216    426.668030  426.527643
217    423.730530  422.853363
218    414.299957  412.897034
219    319.845154  319.112809
220    412.379303  411.094830
221    322.369812  323.148511
222    375.170013  373.968124
223    425.756226  425.250876
224    366.425690  365.531795
225    384.718079  384.006629
226    425.254608  424.592854
227    364.565033  364.758759
228    426.709656  427.060709
229    383.337708  382.856860
230    368.906952  369.181644
231    412.656097  411.340373
232    368.185303  369.332534
233    366.274170  367.670687
234    382.498779  381.745757
235    373.334564  373.979043
236    391.499115  391.518783
237    413.591522  412.370557
238    360.353180  360.681829
239    423.789246  423.069480
240    346.770294  347.304479
241    388.931152  387.980695
242    349.333527  348.372090
243    425.313904  424.684099
244    333.678009  332.678362
245    381.272919  380.515778
246    334.129791  334.057804
247    366.347534  366.677912
248    378.442719  377.915724
249    421.632935  420.789615
250    387.989380  386.908791
251    417.846313  416.559921
252    310.052765  310.864810
253    371.320496  371.949717
254    374.539642  373.772590
255    372.896179  371.647295
256    366.664185  366.733461
257    425.470947  424.864780
258    350.521454  351.911869
259    335.036407  335.650855
260    371.855286  371.553194
261    399.934326  399.521024
262    324.908722  324.019492
263    388.385101  387.279814
264    426.883820  426.632321
265    355.640503  354.479097
266    395.898621  394.611549
267    427.612305  428.189320
268    313.593109  313.467754
269    374.989197  374.152371
270    336.483673  336.896686
271    316.884766  317.607884
272    369.332214  368.110915
273    347.574463  349.328611
274    384.387054  383.119509
275    389.820374  388.772623
276    406.304871  404.822108
277    398.897888  398.811777
278    393.881927  393.871097
279    325.021881  325.429564
280    425.667419  425.191452
281    427.214478  427.211769
282    349.376740  348.383829
283    324.800323  325.116305
284    370.104462  371.052952
285    390.958557  389.731802
286    335.345551  334.170758
287    313.677826  314.182852
288    344.224060  344.170523
289    388.601624  387.488270
290    403.942871  403.600689
291    413.932434  412.540935
292    374.578674  373.422515
293    338.606079  338.142077
294    341.248322  341.339735
295    329.545074  328.442510
296    334.115967  333.201315
297    381.752563  381.157726
298    395.920471  395.062085
299    378.912537  378.875891
300    368.239197  369.339886
301    373.031677  372.017646
302    397.120056  397.077980
303    420.348358  419.173249
304    366.586823  367.543971
305    414.109131  413.100812
306    373.379150  372.307800
307    408.031036  406.655448
308    418.583374  417.735337
309    426.837616  426.893780
310    395.630005  394.350213
311    375.268951  375.707440
312    376.504578  375.821254
313    321.754852  323.288273
314    385.779846  384.809376
315    371.194641  371.739254
316    323.474792  324.289662
317    426.605408  426.784949
318    343.944794  342.730974
319    392.950500  391.752426
320    364.736725  363.960983
321    407.042114  406.231775
322    375.351593  372.830747
323    401.778046  401.237491
324    374.906006  374.876688
325    426.525482  426.287969
326    354.627441  353.475301
327    412.471527  411.032911
328    423.398773  422.464839
329    378.125610  378.035251
330    312.565613  313.496352
331    415.076660  413.760765
332    344.861816  344.950811
333    381.483978  380.524647
334    370.837585  371.749330
