            Guess        True
0      380.891815  381.912617
1      392.946442  392.706204
2      374.320282  374.321243
3      311.920380  311.971162
4      349.445740  349.556705
5      372.610687  372.635248
6      350.170990  349.940710
7      415.436279  415.350832
8      378.421021  378.098483
9      418.773621  418.531467
10     333.853607  334.041582
11     414.102539  413.891872
12     355.836182  355.908401
13     429.121185  429.087872
14     351.892792  351.856210
15     354.268677  354.114244
16     395.140320  394.874617
17     375.656464  375.547218
18     412.030304  411.806993
19     369.583527  369.601517
20     347.603455  347.714291
21     315.533722  315.326069
22     387.405548  387.250484
23     316.426178  316.427880
24     347.918457  348.041694
25     373.556183  373.397395
26     422.692780  422.486935
27     389.364349  389.265415
28     430.399139  430.481165
29     419.141296  418.950385
30     369.380707  369.332772
31     370.835052  370.971130
32     425.874512  425.688272
33     376.712219  376.667937
34     413.002197  412.787570
35     426.408936  426.220007
36     429.049377  429.022466
37     423.174622  423.006641
38     377.216492  377.227481
39     326.623932  326.402930
40     344.250610  344.033112
41     320.766296  320.820528
42     378.085999  377.717803
43     394.082611  393.896055
44     371.152740  371.227080
45     429.706665  429.727991
46     332.676758  332.454062
47     342.732056  342.484918
48     347.467743  352.077087
49     371.676666  371.546529
50     379.791229  380.081954
51     362.218750  362.286984
52     426.824341  426.639601
53     383.476868  383.136769
54     403.315735  403.064280
55     353.907959  353.974758
56     415.110840  414.869124
57     359.062988  359.092976
58     360.537598  365.618517
59     426.996674  426.842264
60     376.313202  376.217414
61     340.415344  340.192294
62     312.948120  312.883382
63     429.260437  429.276518
64     364.595428  364.466113
65     394.917664  394.695313
66     383.278137  383.212615
67     391.628052  391.323125
68     427.880920  427.702916
69     375.536835  375.482537
70     367.562866  367.260104
71     332.544708  332.673305
72     420.869507  420.607246
73     364.797424  364.824694
74     413.348267  413.129859
75     418.222351  418.016517
76     367.120605  367.309950
77     382.776855  386.836585
78     337.569733  337.483200
79     416.175659  415.973561
80     428.521515  428.414426
81     370.050171  370.275302
82     399.482971  399.160020
83     397.407715  397.318312
84     371.755432  371.724673
85     400.393829  400.153048
86     400.257629  400.008741
87     317.806000  317.906660
88     385.321991  385.181177
89     394.358490  394.039866
90     399.173676  399.136576
91     370.004333  370.293416
92     403.657104  403.359222
93     426.669739  426.496697
94     364.338348  364.203456
95     426.663605  426.490988
96     372.456940  372.198267
97     428.915344  428.855917
98     375.625702  375.598115
99     393.229279  392.995500
100    392.074097  391.942191
101    379.206207  379.380521
102    348.054077  347.938432
103    372.092346  371.911356
104    429.735596  429.756225
105    311.213623  311.106880
106    344.774353  344.524439
107    429.022522  428.919824
108    377.214081  376.409205
109    395.196136  395.001172
110    370.288727  370.276459
111    404.350525  404.069530
112    383.437317  383.439846
113    356.181244  355.938554
114    332.111877  332.062256
115    427.637329  427.504174
116    427.066589  426.888958
117    402.843323  402.721968
118    379.287720  379.329281
119    370.071838  370.146372
120    371.856567  372.066589
121    412.240509  412.214949
122    370.290955  370.522750
123    393.100555  392.923491
124    324.535339  324.297801
125    390.855042  390.724154
126    343.885284  343.772474
127    359.368195  359.259432
128    354.362946  354.561494
129    429.540710  429.602641
130    345.882477  345.516087
131    335.424286  335.603399
132    343.557373  347.825322
133    353.484650  353.563595
134    429.683167  429.639155
135    388.579468  388.235985
136    402.503418  402.198438
137    349.830017  349.580016
138    428.271545  428.132634
139    363.363953  363.223789
140    366.027985  365.728705
141    413.862427  413.653760
142    420.359955  420.246689
143    429.724060  429.837037
144    386.036713  385.685002
145    324.024200  323.926532
146    388.153870  387.947066
147    425.537964  425.345497
148    381.454590  381.501112
149    427.811279  427.700456
150    369.179596  369.364783
151    375.169769  374.863265
152    406.330780  406.074572
153    426.366943  426.175066
154    428.228302  428.086312
155    361.894714  361.617494
156    379.421021  379.245448
157    371.302673  371.182610
158    407.573090  407.315789
159    370.840027  370.713155
160    311.637421  311.771982
161    429.670288  429.745321
162    412.628998  412.375013
163    383.029144  383.000621
164    346.482147  346.323526
165    371.909149  371.608678
166    407.117004  406.850557
167    393.828674  393.761493
168    367.081024  367.017874
169    367.654510  367.378182
170    358.288757  358.101099
171    425.529663  425.336738
172    427.239746  427.105139
173    321.645264  321.622907
174    404.145386  404.030589
175    317.322021  317.439172
176    375.291504  374.983336
177    408.431580  408.181491
178    371.285919  371.332976
179    375.962036  375.053834
180    429.641266  429.713250
181    319.896942  319.770751
182    374.331177  374.334072
183    331.099976  331.036010
184    427.361725  427.227363
185    390.839111  390.683074
186    396.633789  396.355053
187    347.013336  346.856103
188    342.250610  342.231788
189    340.153412  340.388271
190    382.406616  382.099024
191    328.889008  328.657311
192    404.700470  404.395251
193    352.745514  352.486205
194    366.208954  367.048385
195    393.095428  392.920306
196    376.404083  375.127412
197    373.640106  373.587774
198    426.467773  426.273404
199    333.980927  333.731550
200    395.239929  395.023282
201    416.215088  416.015163
202    420.909668  420.749223
203    422.390656  422.148438
204    373.687134  373.872955
205    320.067413  319.832442
206    390.699585  390.467391
207    339.779205  339.667569
208    425.077148  424.873765
209    369.118103  368.903785
210    417.098358  416.818952
211    372.466827  372.206168
212    352.888428  352.760263
213    423.322479  423.076356
214    401.543365  401.256630
215    428.876617  428.827063
216    323.641937  323.608846
217    360.751495  360.532415
218    354.396851  354.282107
219    355.792175  355.604715
220    320.896881  321.902496
221    390.765564  390.691452
222    334.448517  334.354538
